id,date_listed,project_id,project_name,builder,builder_tier,rera_id,locality,region,tier,lat,lon,property_type,bedrooms,carpet_area_sqft,built_up_area_sqft,carpet_area_m2,floor,total_floors,facing,launch_year,possession_year,total_project_units,possession_status,metro_station,metro_line,metro_distance_min,to_bkc_km,price_inr,price_per_sqft_carpet_inr,price_usd,home_loan_rate_at_listing,listing_year,listing_month
U000012,2025-07-24,UC0008,JP Infra Palazzo,JP Infra,tier2,P51918615,Andheri East,Western,mid,19.13056,72.85751,2BHK,2,758,936,70.5,6,25,north-east,2021,2027,100,ready_to_move,Azad Nagar,Line 1,42,6.86,25955000,34222,311457,8.7,2025,7
U000013,2023-04-16,UC0224,Godrej Properties Skyline,Godrej Properties,tier1,P51977671,Virar,Far Western,affordable,19.46666,72.80531,2BHK,2,645,779,59.9,4,15,north-east,2022,2026,200,under_construction,Virar WR,Western Rail,18,44.63,4717000,7313,56606,9.2,2023,4
U000014,2022-09-10,UC0099,Tata Housing Celeste,Tata Housing,tier1,,Vikhroli,Central,mid,19.10821,72.91142,2BHK,2,641,821,59.6,13,15,south-west,2021,2026,200,under_construction,Saki Naka,Line 1,36,6.08,16274000,25388,195290,8.6,2022,9
U000015,2026-03-06,UC0205,Runwal Residences,Runwal,tier2,P51733810,Prabhadevi,South Mumbai,luxury,19.01338,72.83181,3BHK,3,1099,1403,102.1,10,25,west,2023,2025,1200,under_construction,Siddhivinayak,Line 3,9,7.47,72135000,65620,865616,8.7,2026,3
U000016,2024-10-29,UC0060,Kanakia The Park,Kanakia,tier2,,Prabhadevi,South Mumbai,luxury,19.013,72.82359,5BHK_penthouse,5,2033,2542,188.8,17,25,north-west,2024,2027,100,ready_to_move,Goregaon East,Line 7,209,8.0,130595000,64251,1567144,9.2,2024,10
U000017,2021-06-25,UC0045,Oberoi Realty Garden,Oberoi Realty,tier1,P51740137,Matunga,Central,premium,19.0263,72.86185,1BHK,1,439,539,40.7,6,15,west,2024,2024,800,under_construction,Vidyanagari,Line 3,81,4.93,13628000,31076,163540,6.7,2021,6
U000018,2021-05-17,UC0019,Tata Housing Celeste,Tata Housing,tier1,P51920883,Ulwe,Navi Mumbai,affordable,18.9582,73.0174,4BHK,4,1237,1494,114.9,2,15,north-west,2022,2026,1200,ready_within_6m,Vashi Harbour,Harbour,167,19.87,11017000,8907,132209,6.7,2021,5
U000019,2025-01-02,UC0014,Sheth Creators Oasis,Sheth Creators,tier2,P51930397,Borivali East,Western,mid,19.227,72.86343,3BHK,3,948,1152,88.1,25,25,east,2021,2025,100,under_construction,Borivali WR,Western Rail,7,17.47,18375000,19375,220498,8.95,2025,1
U000020,2023-08-19,UC0196,Rustomjee Horizon,Rustomjee,tier1,P51918578,Sanpada,Navi Mumbai,mid,19.07872,72.99624,2BHK,2,681,856,63.3,28,35,north-east,2024,2025,800,ready_to_move,Vashi Harbour,Harbour,4,13.3,13239000,19444,158873,9.2,2023,8
U000021,2026-01-21,UC0194,JP Infra Avalon,JP Infra,tier2,P51968242,Juhu,Western,luxury,19.10217,72.82874,2BHK,2,588,711,54.6,33,35,west,2024,2024,100,under_construction,Wadala Harbour,Harbour,127,5.62,43202000,73485,518424,8.7,2026,1
U000022,2025-11-12,UC0133,Nirmal Lifestyle Grandeur,Nirmal Lifestyle,tier2,P51818028,Mahalaxmi,South Mumbai,luxury,18.99385,72.84555,3BHK,3,898,1120,83.5,12,25,north-east,2022,2027,100,under_construction,Cuffe Parade,Line 3,115,8.85,68245000,75967,818944,8.7,2025,11
U000023,2025-10-02,UC0092,Nirmal Lifestyle Avalon,Nirmal Lifestyle,tier2,P51762398,Malad East,Western,mid,19.18887,72.85726,1BHK,1,498,640,46.3,9,25,north-west,2024,2026,100,under_construction,Kurar,Line 7,8,13.29,9228000,18534,110740,8.7,2025,10
U000024,2024-01-10,UC0209,Nirmal Lifestyle Towers,Nirmal Lifestyle,tier2,,Ghatkopar East,Central,mid,19.08987,72.929,3BHK,3,781,974,72.6,22,35,south-west,2022,2028,800,under_construction,Marol Naka Metro,Line 3,67,6.58,18368000,23506,220412,9.2,2024,1
U000025,2025-04-18,UC0080,Sunteck Palazzo,Sunteck,tier2,P51855593,Andheri West,Western,premium,19.12492,72.83023,2BHK,2,713,926,66.2,13,35,north-west,2021,2024,100,under_construction,Azad Nagar,Line 1,12,7.4,27955000,39230,335458,8.95,2025,4
U000026,2024-11-15,UC0165,Kanakia Vista,Kanakia,tier2,,Kandivali West,Western,mid,19.19938,72.84075,1BHK,1,403,514,37.4,9,25,south-west,2023,2024,100,under_construction,Magathane,Line 2A,28,14.71,9936000,24660,119226,9.2,2024,11
U000027,2022-10-10,UC0105,Piramal Realty Plaza,Piramal Realty,tier2,P51895496,Nariman Point,South Mumbai,luxury,18.91712,72.83741,3BHK,3,1137,1388,105.6,13,25,south,2024,2028,400,under_construction,Santacruz Metro,Line 3,220,17.34,79182000,69643,950178,8.6,2022,10
U000028,2024-08-16,UC0234,Oberoi Realty Royale,Oberoi Realty,tier1,P51820916,Bandra East,Western,premium,19.06549,72.84794,3BHK,3,903,1152,83.9,17,35,north,2022,2024,100,under_construction,Dadar Metro,Line 3,68,2.37,50930000,56401,611165,9.2,2024,8
U000029,2021-11-02,UC0149,DLF Plaza,DLF,tier1,P51878018,Versova,Western,premium,19.13611,72.81553,3BHK,3,1009,1258,93.8,5,25,south-east,2022,2024,100,ready_to_move,Versova,Line 1,9,9.32,28509000,28247,342112,6.7,2021,11
U000030,2024-12-14,UC0135,Runwal Garden,Runwal,tier2,P51934428,Goregaon West,Western,mid,19.17401,72.84243,5BHK_penthouse,5,1911,2359,177.5,4,15,south-east,2025,2027,200,under_construction,Kurar,Line 7,22,11.92,54852000,28707,658227,9.2,2024,12
U000031,2025-11-11,UC0122,Sunteck Imperia,Sunteck,tier2,P51779118,Borivali East,Western,mid,19.22149,72.865,1BHK,1,451,554,41.9,20,35,north-west,2023,2026,100,under_construction,Devipada,Line 2A,34,16.85,9099000,20175,109186,8.7,2025,11
U000032,2021-06-13,UC0142,Nirmal Lifestyle The Park,Nirmal Lifestyle,tier2,P51897519,Goregaon West,Western,mid,19.16748,72.8645,3BHK,3,818,984,76.0,38,50,north-west,2022,2027,100,under_construction,Dindoshi,Line 7,9,10.85,19421000,23738,233054,6.7,2021,6
U000033,2023-08-21,UC0114,DLF Symphony,DLF,tier1,P51853770,Walkeshwar,South Mumbai,luxury,18.9516,72.79212,5BHK_penthouse,5,3003,3709,278.9,17,25,north,2022,2024,800,under_construction,Mumbai Central Metro,Line 3,47,15.5,297698000,99148,3572371,9.2,2023,8
U000034,2025-02-25,UC0138,Tata Housing Estate,Tata Housing,tier1,P51945849,Dadar West,Central,premium,19.01379,72.82537,3BHK,3,988,1214,91.8,9,15,north-west,2023,2027,100,ready_to_move,Siddhivinayak,Line 3,5,7.81,46923000,47512,563076,8.95,2025,2
U000035,2023-10-30,UC0168,Sheth Creators Symphony,Sheth Creators,tier2,P51739756,Tardeo,South Mumbai,luxury,18.9588,72.80896,1BHK,1,354,439,32.9,35,35,south-east,2024,2025,1200,ready_within_6m,Mumbai Central WR,Western Rail,23,13.93,26614000,75147,319365,9.2,2023,10
U000036,2024-05-29,UC0106,Kalpataru Garden,Kalpataru,tier1,P51712333,Kandivali West,Western,mid,19.21011,72.83931,3BHK,3,784,976,72.9,22,25,south,2025,2027,1200,under_construction,Asalpha,Line 1,166,15.91,17329000,22094,207944,9.2,2024,5
U000037,2021-03-20,UC0233,Marathon Greens,Marathon,tier2,P51873597,Kurla West,Central,mid,19.08311,72.8845,1BHK,1,461,590,42.8,20,25,south,2021,2024,400,under_construction,Asalpha,Line 1,33,2.11,10367000,22492,124400,6.7,2021,3
U000038,2024-01-15,UC0022,Tata Housing Vista,Tata Housing,tier1,,Kandivali West,Western,mid,19.20413,72.81812,2BHK,2,660,794,61.3,27,35,south-west,2023,2027,100,under_construction,Rashtriya Udyan,Line 2A,41,15.88,15042000,22803,180506,9.2,2024,1
U000039,2021-09-16,UC0225,Mahindra Lifespaces Estate,Mahindra Lifespaces,tier1,P51887855,Andheri West,Western,premium,19.14072,72.84461,2BHK,2,764,934,71.0,2,25,north,2022,2027,800,under_construction,Aarey,Line 7,52,8.3,31621000,41380,379458,6.7,2021,9
U000040,2024-10-07,UC0133,Nirmal Lifestyle Grandeur,Nirmal Lifestyle,tier2,P51818028,Mahalaxmi,South Mumbai,luxury,18.99385,72.84555,2BHK,2,552,697,51.2,31,35,south,2022,2027,100,under_construction,Siddhivinayak,Line 3,38,8.85,32506000,58940,390070,9.2,2024,10
U000041,2025-09-13,UC0020,Ajmera Residences,Ajmera,tier2,P51736593,Borivali East,Western,mid,19.23644,72.86422,2BHK,2,695,843,64.6,47,50,east,2021,2026,100,under_construction,Anand Nagar,Line 2A,15,18.52,14575000,20967,174904,8.7,2025,9
U000042,2021-04-25,UC0143,Kalpataru Estate,Kalpataru,tier1,P51974538,Ghansoli,Navi Mumbai,mid,19.12296,73.00562,2BHK,2,682,849,63.4,10,25,south-west,2023,2027,400,under_construction,Mahalaxmi Metro,Line 3,307,15.42,8831000,12949,105968,6.7,2021,4
U000043,2021-02-16,UC0170,Rustomjee Garden,Rustomjee,tier1,P51929455,Kharghar,Navi Mumbai,affordable,19.05477,73.07565,5BHK_penthouse,5,2365,3035,219.7,2,35,south-west,2022,2025,1200,under_construction,Kharghar TH,Trans-Harbour,18,21.68,27316000,11551,327793,6.7,2021,2
U000044,2025-04-22,UC0048,Nirmal Lifestyle Vista,Nirmal Lifestyle,tier2,P51930939,Kurla East,Central,mid,19.071,72.9008,3BHK,3,1077,1315,100.1,33,35,west,2021,2028,1200,under_construction,SEEPZ,Line 3,95,3.24,22620000,20998,271446,8.95,2025,4
U000045,2021-08-23,UC0159,Wadhwa Garden,Wadhwa,tier2,,Taloja,Navi Mumbai,affordable,19.08102,73.09547,2BHK,2,725,889,67.3,2,35,north,2024,2026,400,under_construction,Ghatkopar CR,Central Rail,236,23.73,5514000,7610,66168,6.7,2021,8
U000046,2023-02-04,UC0160,Hiranandani Pinnacle,Hiranandani,tier1,P51771997,Juhu,Western,luxury,19.10691,72.82165,5BHK_penthouse,5,1533,1898,142.4,1,35,east,2023,2026,400,under_construction,Andheri,Line 1,35,6.53,101642000,66299,1219700,9.2,2023,2
U000047,2023-08-19,UC0145,Wadhwa Horizon,Wadhwa,tier2,P51927668,Powai,Central,premium,19.11777,72.89858,2BHK,2,736,940,68.3,9,25,south-west,2024,2027,200,under_construction,Ghatkopar CR,Central Rail,46,6.1,22957000,31213,275488,9.2,2023,8
U000048,2022-02-25,UC0065,Mahindra Lifespaces Estate,Mahindra Lifespaces,tier1,,Bandra West,Western,luxury,19.05202,72.83087,3BHK,3,1132,1362,105.1,5,25,south,2025,2026,400,under_construction,Bandra WR,Western Rail,19,4.57,83385000,73691,1000619,7.1,2022,2
U000049,2022-04-18,UC0137,Nirmal Lifestyle Heights,Nirmal Lifestyle,tier2,P51769267,Dadar East,Central,premium,19.02138,72.83482,1BHK,1,388,484,36.1,8,35,north,2024,2028,200,under_construction,SEEPZ,Line 3,152,6.55,15276000,39329,183307,7.1,2022,4
U000050,2023-03-30,UC0143,Kalpataru Estate,Kalpataru,tier1,P51974538,Ghansoli,Navi Mumbai,mid,19.12296,73.00562,1BHK,1,378,490,35.2,4,35,north-west,2023,2027,400,under_construction,Andheri,Line 1,206,15.42,5778000,15271,69335,9.2,2023,3
U000051,2022-07-11,UC0094,Mahindra Lifespaces Symphony,Mahindra Lifespaces,tier1,P51909138,Parel,South Mumbai,premium,18.99482,72.82494,3BHK,3,834,1071,77.5,7,25,south-west,2024,2028,100,under_construction,Mahalaxmi Metro,Line 3,19,9.61,40672000,48767,488065,8.6,2022,7
U000052,2024-06-23,UC0211,Marathon Avalon,Marathon,tier2,P51726584,Manpada,Thane,mid,19.23506,72.98081,2BHK,2,649,793,60.3,20,35,west,2025,2025,400,ready_within_6m,Bandra WR,Western Rail,298,21.73,7825000,12055,93902,9.2,2024,6
U000053,2024-12-05,UC0124,Rustomjee Pinnacle,Rustomjee,tier1,P51909996,Dadar West,Central,premium,19.02109,72.83408,2BHK,2,598,733,55.5,19,35,east,2024,2026,200,under_construction,Dadar CR,Central Rail,17,6.62,31922000,53387,383062,9.2,2024,12
U000054,2025-12-21,UC0181,Lodha Grandeur,Lodha,tier1,P51871445,Virar,Far Western,affordable,19.4585,72.82442,1BHK,1,594,759,55.2,19,25,south,2022,2025,100,under_construction,Virar WR,Western Rail,19,43.46,4382000,7375,52579,8.7,2025,12
U000055,2023-02-19,UC0172,Godrej Properties Imperia,Godrej Properties,tier1,P51942896,Matunga,Central,premium,19.02326,72.8406,3BHK,3,1148,1407,106.6,28,50,south-east,2022,2025,400,under_construction,Siddhivinayak,Line 3,23,6.05,45648000,39779,547781,9.2,2023,2
U000056,2023-01-30,UC0135,Runwal Garden,Runwal,tier2,P51934428,Goregaon West,Western,mid,19.17401,72.84243,4BHK,4,1365,1689,126.8,5,15,north,2025,2027,200,ready_within_6m,Kurar,Line 7,26,11.92,35939000,26334,431268,9.2,2023,1
U000057,2025-04-13,UC0032,DLF Imperia,DLF,tier1,P51703641,Mulund West,Central,mid,19.16809,72.9346,2BHK,2,661,835,61.4,1,15,north,2025,2027,400,ready_within_6m,Dahisar East,Line 2A,152,12.85,16477000,24941,197719,8.95,2025,4
U000058,2023-11-27,UC0080,Sunteck Palazzo,Sunteck,tier2,P51855593,Andheri West,Western,premium,19.12492,72.83023,3BHK,3,874,1136,81.2,47,50,north-west,2021,2024,100,under_construction,Mumbai Central Metro,Line 3,204,7.4,36177000,41411,434120,9.2,2023,11
U000059,2025-11-16,UC0173,Godrej Properties Oasis,Godrej Properties,tier1,P51844724,Powai,Central,premium,19.11356,72.92204,2BHK,2,584,735,54.3,14,35,north,2022,2027,400,under_construction,Siddhivinayak,Line 3,180,7.3,23555000,40328,282662,8.7,2025,11
U000060,2025-11-28,UC0034,Hiranandani Pinnacle,Hiranandani,tier1,P51892847,Kurla West,Central,mid,19.06917,72.8866,1BHK,1,401,505,37.2,12,25,north-east,2023,2028,400,under_construction,BKC Metro,Line 3,25,1.75,12502000,31204,150021,8.7,2025,11
U000061,2025-05-15,UC0103,Godrej Properties Oasis,Godrej Properties,tier1,P51737967,Breach Candy,South Mumbai,luxury,18.97249,72.80915,4BHK,4,1169,1500,108.6,12,25,south,2025,2028,800,under_construction,Mahalaxmi Metro,Line 3,24,12.59,120583000,103184,1446991,8.95,2025,5
U000062,2022-10-29,UC0110,Nirmal Lifestyle Park Avenue,Nirmal Lifestyle,tier2,P51912265,Malad West,Western,mid,19.18688,72.85727,4BHK,4,1550,1924,144.0,23,35,south-west,2025,2025,800,ready_to_move,Akurli,Line 7,34,13.07,31024000,20011,372286,8.6,2022,10
U000063,2023-10-01,UC0121,Rustomjee Royale,Rustomjee,tier1,P51988274,Sewri,South Mumbai,premium,18.99901,72.85647,2BHK,2,463,598,43.0,23,25,east,2021,2025,100,ready_to_move,Mahalaxmi Metro,Line 3,51,8.02,15776000,34102,189314,9.2,2023,10
U000064,2022-05-21,UC0212,Sunteck Pinnacle,Sunteck,tier2,P51857716,Goregaon East,Western,mid,19.16127,72.87741,1BHK,1,381,460,35.4,5,25,north,2024,2026,800,under_construction,Goregaon East,Line 7,26,10.18,7358000,19291,88296,7.1,2022,5
U000065,2025-04-21,UC0206,Sheth Creators Palazzo,Sheth Creators,tier2,P51865600,Breach Candy,South Mumbai,luxury,18.9603,72.80038,3BHK,3,1002,1300,93.1,8,25,south-east,2022,2028,100,under_construction,CSMT Harbour,Harbour,57,14.23,96172000,95976,1154063,8.95,2025,4
U000066,2026-04-14,UC0084,Godrej Properties Park Avenue,Godrej Properties,tier1,P51961788,Mira Road,Western,affordable,19.28659,72.83779,2BHK,2,652,833,60.6,6,15,east,2023,2026,800,ready_to_move,Borivali WR,Western Rail,80,24.32,10705000,16422,128457,8.7,2026,4
U000067,2022-02-06,UC0159,Wadhwa Garden,Wadhwa,tier2,,Taloja,Navi Mumbai,affordable,19.08102,73.09547,2BHK,2,701,891,65.1,4,25,south-west,2024,2026,400,under_construction,Kharghar TH,Trans-Harbour,56,23.73,4901000,6990,58806,7.1,2022,2
U000068,2021-10-28,UC0101,Tata Housing Celeste,Tata Housing,tier1,,Sanpada,Navi Mumbai,mid,19.07092,73.0233,2BHK,2,446,552,41.5,3,50,north-east,2024,2027,200,ready_within_6m,Nerul Harbour,Harbour,55,16.11,7607000,17039,91283,6.7,2021,10
U000069,2021-10-08,UC0027,Ekta World Meadows,Ekta World,tier2,P51976395,Dombivli,Thane,affordable,19.21983,73.08186,5BHK_penthouse,5,2807,3628,260.8,11,35,north-west,2025,2027,400,under_construction,Gundavali,Line 7,317,27.8,21494000,7657,257934,6.7,2021,10
U000070,2025-02-12,UC0225,Mahindra Lifespaces Estate,Mahindra Lifespaces,tier1,P51887855,Andheri West,Western,premium,19.14072,72.84461,1BHK,1,479,586,44.5,5,15,south-west,2022,2027,800,under_construction,Chakala,Line 1,54,8.3,18485000,38567,221820,8.95,2025,2
U000071,2025-02-25,UC0209,Nirmal Lifestyle Towers,Nirmal Lifestyle,tier2,,Ghatkopar East,Central,mid,19.08987,72.929,2BHK,2,739,911,68.6,23,25,south-east,2022,2028,800,under_construction,Eksar,Line 2A,204,6.58,18586000,25165,223027,8.95,2025,2
U000072,2021-12-01,UC0208,Nirmal Lifestyle Symphony,Nirmal Lifestyle,tier2,P51818632,Ghatkopar East,Central,mid,19.09439,72.92362,2BHK,2,665,844,61.8,9,50,north-east,2025,2025,200,under_construction,Dharavi,Line 3,118,6.25,12390000,18630,148685,6.7,2021,12
U000073,2022-02-12,UC0013,DLF Garden,DLF,tier1,P51741764,Nala Sopara,Far Western,affordable,19.41735,72.80361,2BHK,2,475,606,44.2,2,35,south,2024,2026,800,under_construction,International Airport,Line 3,444,39.25,2722000,5726,32659,7.1,2022,2
U000074,2024-11-29,UC0119,Marathon Residences,Marathon,tier2,P51830668,Vile Parle East,Western,premium,19.09576,72.8615,4BHK,4,1821,2305,169.2,10,25,west,2023,2026,1200,under_construction,Jogeshwari East,Line 7,58,3.0,58532000,32141,702379,9.2,2024,11
U000075,2022-02-03,UC0097,Nirmal Lifestyle Meadows,Nirmal Lifestyle,tier2,P51897872,Walkeshwar,South Mumbai,luxury,18.95726,72.796,4BHK,4,1517,1906,141.0,25,35,south-east,2023,2027,400,ready_within_6m,Girgaon,Line 3,28,14.75,134496000,88634,1613950,7.1,2022,2
U000076,2025-10-01,UC0175,Ajmera Vista,Ajmera,tier2,P51758950,Parel,South Mumbai,premium,18.9956,72.85003,3BHK,3,1006,1290,93.5,1,35,south,2023,2027,1200,ready_to_move,Shitaladevi,Line 3,50,8.53,51420000,51114,617043,8.7,2025,10
U000077,2021-11-04,UC0093,Wadhwa Garden,Wadhwa,tier2,P51912126,Wadala,South Mumbai,premium,19.02897,72.85798,1BHK,1,475,574,44.1,33,50,north,2023,2026,400,ready_to_move,Shitaladevi,Line 3,27,4.73,20005000,42112,240057,6.7,2021,11
U000078,2021-04-05,UC0203,Sheth Creators Skyline,Sheth Creators,tier2,P51814975,Santacruz East,Western,premium,19.0752,72.86302,3BHK,3,1002,1244,93.1,34,35,north,2024,2027,400,ready_within_6m,International Airport,Line 3,19,0.93,32236000,32183,386832,6.7,2021,4
U000079,2025-07-19,UC0239,Sheth Creators Palazzo,Sheth Creators,tier2,P51843397,Lower Parel,South Mumbai,premium,18.99669,72.83495,2BHK,2,746,957,69.4,15,25,north-east,2024,2027,800,under_construction,Kalbadevi,Line 3,63,8.95,47548000,63695,570579,8.7,2025,7
U000080,2026-03-09,UC0121,Rustomjee Royale,Rustomjee,tier1,P51988274,Sewri,South Mumbai,premium,18.99901,72.85647,4BHK,4,1448,1747,134.5,19,35,west,2021,2025,100,under_construction,Grant Road Metro,Line 3,72,8.02,56011000,38675,672128,8.7,2026,3
U000081,2022-12-25,UC0181,Lodha Grandeur,Lodha,tier1,P51871445,Virar,Far Western,affordable,19.4585,72.82442,1BHK,1,413,519,38.4,1,35,south-west,2022,2025,100,under_construction,Virar WR,Western Rail,19,43.46,2554000,6187,30652,8.6,2022,12
U000082,2025-03-29,UC0109,JP Infra Meadows,JP Infra,tier2,P51944823,Breach Candy,South Mumbai,luxury,18.97718,72.81963,3BHK,3,958,1153,89.0,6,25,south,2024,2027,200,under_construction,Mumbai Central WR,Western Rail,6,11.6,88682000,92530,1064189,8.95,2025,3
U000083,2024-10-24,UC0007,Tata Housing Pinnacle,Tata Housing,tier1,P51794917,Breach Candy,South Mumbai,luxury,18.96675,72.80474,3BHK,3,820,1027,76.2,23,25,east,2023,2024,400,under_construction,Mahalaxmi Metro,Line 3,28,13.37,83736000,102097,1004830,9.2,2024,10
U000084,2024-12-18,UC0167,Dosti Realty Palazzo,Dosti Realty,tier2,P51809693,Vile Parle East,Western,premium,19.10007,72.86003,1BHK,1,357,446,33.2,4,15,east,2024,2027,1200,ready_within_6m,Gundavali,Line 7,33,3.5,14419000,40343,173034,9.2,2024,12
U000085,2026-04-20,UC0115,Nirmal Lifestyle Crest,Nirmal Lifestyle,tier2,P51956883,Kandivali East,Western,mid,19.20587,72.87188,1BHK,1,472,600,43.9,8,25,north,2024,2026,200,under_construction,Eksar,Line 2A,32,15.11,10801000,22879,129609,8.7,2026,4
U000086,2023-04-06,UC0159,Wadhwa Garden,Wadhwa,tier2,,Taloja,Navi Mumbai,affordable,19.08102,73.09547,1BHK,1,431,524,40.1,23,25,east,2024,2026,400,under_construction,Dharavi,Line 3,319,23.73,3784000,8776,45404,9.2,2023,4
U000087,2026-04-14,UC0151,Piramal Realty The Park,Piramal Realty,tier2,,Borivali East,Western,mid,19.22465,72.85673,4BHK,4,1570,1996,145.9,25,35,south,2023,2027,200,under_construction,Eksar,Line 2A,13,17.25,27131000,17278,325572,8.7,2026,4
U000088,2023-08-05,UC0206,Sheth Creators Palazzo,Sheth Creators,tier2,P51865600,Breach Candy,South Mumbai,luxury,18.9603,72.80038,4BHK,4,1740,2119,161.6,32,35,south-west,2022,2028,100,under_construction,Grant Road Metro,Line 3,24,14.23,151397000,87017,1816770,9.2,2023,8
U000089,2024-01-03,UC0083,Sheth Creators Pinnacle,Sheth Creators,tier2,P51753181,Santacruz West,Western,premium,19.0854,72.83481,1BHK,1,314,386,29.2,10,35,west,2021,2026,400,under_construction,Airport Road,Line 1,59,4.08,14634000,46534,175605,9.2,2024,1
U000090,2026-01-17,UC0156,Ajmera Greens,Ajmera,tier2,P51774746,Borivali East,Western,mid,19.2267,72.84795,3BHK,3,1097,1335,101.9,42,50,north-west,2023,2025,800,under_construction,Borivali WR,Western Rail,17,17.58,22704000,20704,272452,8.7,2026,1
U000091,2024-09-22,UC0240,Nirmal Lifestyle Horizon,Nirmal Lifestyle,tier2,P51965262,Sanpada,Navi Mumbai,mid,19.06785,73.01683,2BHK,2,503,630,46.7,5,25,east,2025,2025,100,ready_to_move,Devipada,Line 2A,280,15.43,7596000,15107,91152,9.2,2024,9
U000092,2024-05-08,UC0128,Sunteck Symphony,Sunteck,tier2,P51843682,Panvel,Navi Mumbai,affordable,18.98648,73.10714,3BHK,3,1072,1358,99.6,10,15,south-west,2023,2025,200,ready_to_move,Panvel Harbour,Harbour,6,26.6,10157000,9475,121883,9.2,2024,5
U000093,2023-03-13,UC0219,DLF Pinnacle,DLF,tier1,P51946087,Ghansoli,Navi Mumbai,mid,19.12578,73.01125,3BHK,3,932,1138,86.6,3,35,south,2025,2027,800,under_construction,Dharavi,Line 3,237,16.09,15255000,16372,183059,9.2,2023,3
U000094,2023-09-28,UC0163,Ekta World Plaza,Ekta World,tier2,P51714329,Sanpada,Navi Mumbai,mid,19.06483,72.99789,2BHK,2,673,853,62.6,36,50,east,2021,2027,400,ready_to_move,Nerul Harbour,Harbour,56,13.45,12523000,18599,150273,9.2,2023,9
U000095,2023-02-14,UC0005,Ekta World Plaza,Ekta World,tier2,P51892275,Matunga,Central,premium,19.03399,72.86933,4BHK,4,1519,1938,141.1,10,15,north-east,2023,2025,100,ready_to_move,Dharavi,Line 3,33,4.0,55211000,36346,662533,9.2,2023,2
