id,date_listed,locality,region,tier,lat,lon,property_type,bedrooms,carpet_area_sqft,built_up_area_sqft,carpet_area_m2,floor,total_floors,year_built,facing,furnishing,parking,balconies,is_sra_redevelopment,builder,builder_tier,metro_station,metro_line,metro_distance_min,metro_distance_type,to_bkc_km,to_nariman_point_km,price_inr,price_per_sqft_carpet_inr,price_usd,home_loan_rate_at_listing,listing_year,listing_month,property_age,calculated_price_per_sqft,luxury_score,connectivity_score,investment_score,investment_category
S000018,2020-08-03,Nariman Point,South Mumbai,luxury,18.92567,72.82068,1BHK,1,449,543,41.7,26,30,1991,north-west,semi_furnished,2_covered,2,False,Local Builder,local,Churchgate,Line 3,12,walk,16.87,0.33,13796000,30740,165554,6.7,2020,8,35,30726.0579064588,3,88,42.32048477819659,Medium
S000019,2024-12-17,Ghodbunder Road,Thane,mid,19.2584,72.96799,3BHK,3,988,1200,91.8,8,20,2016,west,unfurnished,2_covered,1,False,Kanakia,tier2,Dindoshi,Line 7,58,auto/bus,23.34,39.9,9346000,9455,112151,9.2,2024,12,10,9459.514170040486,2,42,19.39799764605179,Low
S000020,2023-05-22,Borivali East,Western,mid,19.23701,72.88085,3BHK,3,1007,1289,93.6,16,20,2023,north-east,semi_furnished,1_covered,2,False,Local Builder,local,Borivali East,Line 2A,4,walk,18.61,35.05,11897000,11813,142762,9.2,2023,5,3,11814.299900695134,2,96,41.44665480373204,Medium
S000021,2020-11-13,Belapur,Navi Mumbai,mid,19.01987,73.0095,5BHK_penthouse,5,2241,2822,208.2,30,30,2014,north,semi_furnished,1_covered,1,False,JP Infra,tier2,Belapur TH,Trans-Harbour,4,walk,15.69,22.13,24362000,10872,292349,6.7,2020,11,12,10871.039714413208,2,96,41.21544753304327,Medium
S000022,2023-04-11,Airoli,Navi Mumbai,mid,19.16388,73.00224,2BHK,2,597,723,55.4,4,7,2019,north-west,semi_furnished,1_covered,2,True,Local Builder,local,Akurli,Line 7,69,auto/bus,17.38,32.39,3237000,5424,38841,9.2,2023,4,7,5422.110552763819,0,31,13.793728019771393,Low
S000023,2026-01-30,Andheri East,Western,mid,19.12573,72.85365,4BHK,4,1238,1533,115.0,3,20,2010,west,unfurnished,open,2,False,Local Builder,local,Andheri WR,Western Rail,4,walk,6.43,22.38,22661000,18300,271931,8.7,2026,1,16,18304.523424878837,2,96,42.70412867922864,Medium
S000024,2023-01-10,Mulund West,Central,mid,19.17243,72.93634,3BHK,3,964,1201,89.6,18,30,2016,south-east,fully_furnished,1_covered,3,False,Sunteck,tier2,Borivali WR,Western Rail,51,auto/bus,13.35,29.8,17389000,18038,208674,9.2,2023,1,10,18038.381742738587,4,49,24.46510761975962,Medium
S000025,2026-04-27,Chembur,Central,mid,19.05006,72.90995,3BHK,3,968,1170,89.9,26,30,2012,south,fully_furnished,2_covered,0,False,Runwal,tier2,Domestic Airport,Line 3,30,auto/bus,4.75,16.46,19098000,19730,229174,8.7,2026,4,14,19729.338842975205,4,70,33.19836150382239,Medium
S000026,2021-10-27,Sanpada,Navi Mumbai,mid,19.07074,72.99895,1BHK,1,465,601,43.2,26,30,2022,south,unfurnished,1_covered,2,False,Local Builder,local,Poisar,Line 7,93,auto/bus,13.55,24.43,3994000,8590,47927,6.7,2021,10,4,8589.247311827958,0,7,4.768375563345018,Low
S000027,2020-02-06,Kharghar,Navi Mumbai,affordable,19.04177,73.07513,3BHK,3,1174,1480,109.0,2,7,2012,east,unfurnished,1_covered,3,False,Godrej Properties,tier1,Kharghar TH,Trans-Harbour,2,walk,21.79,29.38,10431000,8887,125172,7.85,2020,2,14,8885.008517887563,2,98,41.67326808551434,Medium
S000028,2020-12-01,Borivali West,Western,mid,19.23128,72.85191,4BHK,4,1381,1738,128.3,6,20,2018,west,unfurnished,1_covered,1,False,Ajmera,tier2,Magathane,Line 2A,17,auto/bus,18.03,34.02,16266000,11775,195196,6.7,2020,12,8,11778.421433743664,2,83,36.21647792942334,Medium
S000029,2026-02-23,Kanjurmarg,Central,mid,19.13148,72.93943,2BHK,2,507,638,47.1,5,12,2022,east,semi_furnished,2_covered,2,True,Marathon,tier2,MIDC Andheri,Line 3,29,auto/bus,10.0,25.84,6950000,13710,83401,8.7,2026,2,4,13708.086785009862,0,71,31.285884892086333,Medium
S000030,2022-09-24,Sewri,South Mumbai,premium,19.00032,72.86702,3BHK,3,1288,1611,119.6,12,20,2019,east,semi_furnished,1_covered,2,False,Local Builder,local,Ghatkopar,Line 1,54,auto/bus,7.75,9.39,28034000,21770,336403,8.6,2022,9,7,21765.52795031056,2,46,23.38967097096383,Medium
S000031,2022-02-11,Dadar West,Central,premium,19.01365,72.87104,1BHK,1,476,607,44.2,4,7,2018,south,unfurnished,1_covered,1,False,Local Builder,local,Dadar CR,Central Rail,3,walk,6.27,10.89,13070000,27451,156843,7.1,2022,2,8,27457.983193277312,0,97,44.36671109410865,Medium
S000032,2024-05-08,Airoli,Navi Mumbai,mid,19.17269,72.9967,3BHK,3,911,1152,84.7,5,7,2022,north-west,fully_furnished,1_covered,2,False,Piramal Realty,tier2,Siddhivinayak,Line 3,104,auto/bus,17.54,32.86,11690000,12827,140280,9.2,2024,5,4,12832.05268935236,4,0,3.850943199315655,Low
S000033,2025-04-14,Goregaon East,Western,mid,19.15051,72.84809,2BHK,2,791,961,73.5,10,12,2021,south-west,unfurnished,1_covered,0,False,Mahindra Lifespaces,tier1,Goregaon East,Line 7,3,walk,9.24,25.04,17117000,21645,205408,8.95,2025,4,5,21639.696586599242,0,97,43.18742145235731,Medium
S000034,2024-03-28,Malad East,Western,mid,19.17974,72.84307,3BHK,3,976,1208,90.7,18,20,2010,north-west,semi_furnished,open,1,False,Kanakia,tier2,Kurar,Line 7,10,walk,12.53,28.23,14068000,14408,168817,9.2,2024,3,16,14413.934426229509,2,90,39.552683309638894,Medium
S000035,2020-02-20,Kurla East,Central,mid,19.0638,72.89428,4BHK,4,1460,1778,135.7,5,12,2019,south,unfurnished,none,1,False,Mahindra Lifespaces,tier1,Wadala Harbour,Harbour,34,auto/bus,2.64,16.98,21531000,14745,258376,7.85,2020,2,7,14747.260273972603,2,66,29.995444661186202,Medium
S000036,2023-01-08,Manpada,Thane,mid,19.21822,72.97499,3BHK,3,997,1269,92.6,29,45,2012,west,semi_furnished,2_covered,3,False,JP Infra,tier2,Andheri WR,Western Rail,80,auto/bus,19.83,36.12,7669000,7690,92022,9.2,2023,1,14,7692.076228686058,2,20,10.268395097144348,Low
S000037,2020-01-11,Panvel,Navi Mumbai,affordable,18.99333,73.11916,1BHK,1,395,493,36.7,6,45,2014,north-west,unfurnished,1_covered,2,False,Local Builder,local,Panvel Harbour,Harbour,2,walk,27.54,31.95,1899000,4812,22783,7.85,2020,1,12,4807.594936708861,0,98,40.68899294365456,Medium
S000038,2022-05-02,Goregaon West,Western,mid,19.16615,72.84056,3BHK,3,765,977,71.1,4,30,2024,south,semi_furnished,open,0,False,Local Builder,local,Azad Nagar,Line 1,24,auto/bus,11.13,26.71,11937000,15605,143238,7.1,2022,5,2,15603.921568627451,2,76,34.20477314233057,Medium
S000039,2023-11-12,Malad West,Western,mid,19.1922,72.83007,2BHK,2,433,534,40.2,21,30,2014,east,fully_furnished,1_covered,0,False,Local Builder,local,Kurar,Line 7,17,walk,14.22,29.55,8216000,18982,98594,9.2,2023,11,12,18974.59584295612,2,83,37.71811372930867,Medium
S000040,2024-11-26,Naigaon,Far Western,affordable,19.34856,72.83257,1BHK,1,457,594,42.4,9,20,2019,north,unfurnished,none,1,False,Marathon,tier2,Ovaripada,Line 7,58,auto/bus,31.22,46.94,2177000,4765,26128,9.2,2024,11,7,4763.676148796499,0,42,18.212347726228757,Low
S000041,2022-08-29,Borivali West,Western,mid,19.22429,72.8232,5BHK_penthouse,5,2491,3124,231.4,5,12,1990,north-east,semi_furnished,1_covered,2,False,Dosti Realty,tier2,Eksar,Line 2A,11,auto/bus,17.85,33.11,46879000,18818,562552,8.6,2022,8,36,18819.349658771578,2,89,39.984931513044216,Medium
S000042,2020-05-20,Byculla,South Mumbai,premium,18.98233,72.85098,3BHK,3,928,1155,86.2,12,20,2006,north-west,fully_furnished,2_covered,1,False,Local Builder,local,Siddhivinayak,Line 3,22,auto/bus,9.95,6.84,22600000,24346,271205,6.7,2020,5,20,24353.44827586207,4,78,37.31344778761063,Medium
S000043,2025-11-29,Vasai,Far Western,affordable,19.41239,72.81429,1BHK,1,285,345,26.5,4,7,2016,north,unfurnished,1_covered,1,False,Kalpataru,tier1,Eksar,Line 2A,85,auto/bus,38.52,54.04,1513000,5310,18155,8.7,2025,11,10,5308.771929824561,0,15,7.722938532716458,Low
S000044,2022-06-29,Bhayandar,Western,affordable,19.30502,72.82463,2BHK,2,649,786,60.3,5,30,2016,west,semi_furnished,open,1,False,Runwal,tier2,Rashtriya Udyan,Line 2A,52,auto/bus,26.56,42.09,5003000,7711,60030,7.1,2022,6,10,7708.782742681048,0,48,20.94208007195683,Medium
S000045,2024-09-15,Ghatkopar East,Central,mid,19.06702,72.93302,4BHK,4,1222,1523,113.5,7,20,1987,south-west,unfurnished,none,1,False,DLF,tier1,Dharavi,Line 3,39,auto/bus,6.63,19.4,16902000,13832,202826,9.2,2024,9,39,13831.423895253682,2,61,27.825564595905814,Medium
S000046,2025-05-17,Ghatkopar East,Central,mid,19.07763,72.93126,1BHK,1,476,600,44.2,11,12,1995,west,semi_furnished,open,1,False,JP Infra,tier2,Ghatkopar CR,Central Rail,18,walk,6.49,20.26,9528000,20023,114337,8.95,2025,5,31,20016.806722689074,0,82,36.90955382031907,Medium
S000047,2023-04-06,Vikhroli,Central,mid,19.1091,72.92743,2BHK,2,707,851,65.7,5,12,2011,north-west,semi_furnished,open,1,True,Ajmera,tier2,Sahar Road,Line 3,29,auto/bus,7.44,23.05,8319000,11761,99826,9.2,2023,4,15,11766.619519094767,0,71,30.872406755619668,Medium
S000048,2023-03-18,Kopar Khairane,Navi Mumbai,mid,19.095,73.01513,5BHK_penthouse,5,2474,2973,229.9,27,45,1996,south,semi_furnished,1_covered,0,False,Local Builder,local,Wadala Harbour,Harbour,80,auto/bus,15.5,27.5,17133000,6924,205593,9.2,2023,3,30,6925.222312045271,2,20,10.043166894297554,Low
S000049,2020-02-11,Parel,South Mumbai,premium,18.98705,72.83517,2BHK,2,745,960,69.2,8,12,2018,south-east,semi_furnished,1_covered,2,False,Ajmera,tier2,Siddhivinayak,Line 3,18,auto/bus,9.92,6.84,22336000,29968,268033,7.85,2020,2,8,29981.208053691276,0,82,38.83837077363897,Medium
S000050,2022-04-08,Cuffe Parade,South Mumbai,luxury,18.9007,72.7976,3BHK,3,868,1119,80.7,7,12,1987,south-east,unfurnished,open,3,False,Marathon,tier2,Cuffe Parade,Line 3,2,walk,20.31,3.97,50320000,57949,603842,7.1,2022,4,39,57972.35023041475,5,98,52.30967281399046,High
S000051,2022-05-25,Mulund East,Central,mid,19.16931,72.97786,2BHK,2,759,967,70.5,29,30,1995,north-east,semi_furnished,1_covered,2,False,Local Builder,local,Jogeshwari East,Line 7,48,auto/bus,15.82,31.49,10851000,14292,130215,7.1,2022,5,31,14296.442687747036,0,52,23.75055740484748,Medium
S000052,2025-08-13,Ambernath,Thane,affordable,19.19969,73.1911,2BHK,2,683,861,63.4,8,20,2016,east,unfurnished,1_covered,1,False,Local Builder,local,Cuffe Parade,Line 3,203,auto/bus,36.69,49.13,2911000,4262,34928,8.7,2025,8,10,4262.07906295754,0,0,1.1959245620061834,Low
S000053,2021-07-16,Kharghar,Navi Mumbai,affordable,19.0475,73.0473,1BHK,1,416,536,38.7,6,12,2015,south,unfurnished,1_covered,3,False,Local Builder,local,Kharghar TH,Trans-Harbour,2,walk,18.8,27.09,3212000,7713,38549,6.7,2021,7,11,7721.153846153846,0,98,41.05393250311333,Medium
S000054,2021-11-12,Prabhadevi,South Mumbai,luxury,19.00137,72.819,4BHK,4,1444,1864,134.2,28,45,2024,south-west,unfurnished,1_covered,0,False,Local Builder,local,Siddhivinayak,Line 3,2,walk,9.33,8.34,63992000,44303,767903,6.7,2021,11,2,44315.78947368421,5,98,49.57622695336917,Medium
S000055,2021-08-08,Tardeo,South Mumbai,luxury,18.98548,72.80629,1BHK,1,483,608,44.9,15,20,2014,north-west,semi_furnished,1_covered,3,False,Sunteck,tier2,CSMT Metro,Line 3,22,auto/bus,11.54,6.81,19179000,39711,230149,6.7,2021,8,12,39708.07453416149,3,78,40.094340361854115,Medium
S000056,2023-11-28,Santacruz East,Western,premium,19.07946,72.8366,2BHK,2,700,857,65.0,4,20,1999,east,semi_furnished,1_covered,1,False,Local Builder,local,MIDC Andheri,Line 3,23,auto/bus,3.66,17.06,16353000,23361,196230,9.2,2023,11,27,23361.428571428572,0,77,35.53335085916957,Medium
S000057,2021-10-14,Ghansoli,Navi Mumbai,mid,19.1233,73.01428,2BHK,2,687,855,63.8,4,7,2019,south-west,unfurnished,1_covered,1,False,Local Builder,local,Saki Naka,Line 1,53,auto/bus,16.28,29.67,5144000,7486,61733,6.7,2021,10,7,7487.627365356623,0,47,20.491601244167963,Medium
S000058,2025-10-16,Kalyan,Thane,affordable,19.2343,73.14745,2BHK,2,676,847,62.8,8,12,2007,west,unfurnished,open,1,False,Local Builder,local,Kalyan CR,Central Rail,3,walk,34.4,48.26,3249000,4805,38984,8.7,2025,10,19,4806.213017751479,0,97,40.068787011388125,Medium
S000059,2024-01-12,Bhandup,Central,mid,19.14415,72.94068,2BHK,2,662,823,61.5,16,20,2024,north,unfurnished,1_covered,1,True,Local Builder,local,Thane CR,Central Rail,35,auto/bus,11.1,27.15,5154000,7787,61843,9.2,2024,1,2,7785.4984894259815,0,65,27.751424058983314,Medium
S000060,2024-07-20,Andheri East,Western,mid,19.12383,72.84337,3BHK,3,766,955,71.1,21,45,2010,south-west,unfurnished,open,2,False,Wadhwa,tier2,Andheri WR,Western Rail,3,walk,6.61,22.04,19934000,26029,239203,9.2,2024,7,16,26023.498694516973,2,97,44.6559655463028,Medium
S000061,2025-12-29,Oshiwara,Western,premium,19.15507,72.83904,2BHK,2,768,953,71.4,3,20,1991,west,semi_furnished,1_covered,1,False,Ekta World,tier2,D N Nagar,Line 1,15,auto/bus,10.0,25.47,17422000,22675,209067,8.7,2025,12,35,22684.895833333332,0,85,38.59239869130983,Medium
S000062,2024-08-21,Ghatkopar West,Central,mid,19.08853,72.91292,1BHK,1,346,422,32.1,20,30,2023,north-west,unfurnished,1_covered,2,False,Dosti Realty,tier2,Sahar Road,Line 3,21,auto/bus,4.96,20.31,5824000,16837,69888,9.2,2024,8,3,16832.369942196532,0,79,35.1391032967033,Medium
S000063,2026-01-11,Airoli,Navi Mumbai,mid,19.16845,73.00713,3BHK,3,955,1205,88.7,9,12,2024,south-east,unfurnished,2_covered,1,False,Local Builder,local,Aarey,Line 7,59,auto/bus,18.09,33.1,10090000,10568,121075,8.7,2026,1,2,10565.445026178011,2,41,19.212708027750253,Low
S000064,2023-02-05,Nerul,Navi Mumbai,mid,19.04478,73.0208,3BHK,3,851,1042,79.1,43,45,2013,south,semi_furnished,1_covered,1,False,Local Builder,local,Nerul Harbour,Harbour,4,walk,16.1,24.54,9820000,11541,117841,9.2,2023,2,13,11539.36545240893,2,96,41.41003299389003,Medium
S000065,2023-09-16,Borivali East,Western,mid,19.22917,72.83989,2BHK,2,781,1001,72.5,18,30,2005,north-west,unfurnished,2_covered,1,True,Piramal Realty,tier2,Borivali East,Line 2A,4,walk,17.98,33.7,7534000,9649,90410,9.2,2023,9,21,9646.606914212549,0,96,40.4625316166711,Medium
S000066,2022-07-15,Mahalaxmi,South Mumbai,luxury,18.98723,72.81668,4BHK,4,1737,2097,161.4,5,7,2022,south-west,semi_furnished,1_covered,2,False,Local Builder,local,Mahalaxmi Metro,Line 3,2,walk,10.78,6.79,91352000,52590,1096228,8.6,2022,7,4,52591.82498560737,5,98,51.228946667834315,High
S000067,2025-01-14,BKC (Bandra-Kurla),Central,luxury,19.06122,72.87841,5BHK_penthouse,5,3113,3765,289.2,14,20,2015,west,unfurnished,none,2,False,Local Builder,local,Domestic Airport,Line 3,17,auto/bus,1.32,16.05,201635000,64769,2419621,8.95,2025,1,11,64771.92418888532,5,83,47.658759456443576,Medium
S000068,2022-07-01,Seawoods,Navi Mumbai,mid,19.02202,73.013,3BHK,3,915,1143,85.0,10,30,2021,south,semi_furnished,none,0,False,Local Builder,local,Belapur TH,Trans-Harbour,10,auto/bus,15.95,22.56,10000000,10932,119996,8.6,2022,7,5,10928.96174863388,2,90,38.8864,Medium
S000069,2024-09-21,Colaba,South Mumbai,luxury,18.90599,72.81475,1BHK,1,405,521,37.7,25,30,2024,north-east,unfurnished,1_covered,2,False,Marathon,tier2,Vidhan Bhavan,Line 3,15,auto/bus,19.14,2.47,19456000,47996,233471,9.2,2024,9,2,48039.50617283951,3,85,44.55059802631579,Medium
S000070,2021-05-21,Malad East,Western,mid,19.18888,72.85802,2BHK,2,651,789,60.5,3,7,2015,north-west,fully_furnished,2_covered,1,False,Local Builder,local,Andheri WR,Western Rail,34,auto/bus,13.28,29.4,5648000,8672,67777,6.7,2021,5,11,8675.883256528417,2,66,28.91145382436261,Medium
S000071,2021-03-20,Borivali East,Western,mid,19.23006,72.84703,2BHK,2,617,759,57.3,1,20,2009,north-east,unfurnished,2_covered,1,False,Local Builder,local,Borivali WR,Western Rail,3,walk,17.96,33.84,5185000,8400,62224,6.7,2021,3,17,8403.565640194489,0,97,40.67286403085825,Medium
S000072,2023-07-20,Lokhandwala,Western,premium,19.1389,72.82731,2BHK,2,683,855,63.4,6,12,2021,north,unfurnished,open,2,False,Nirmal Lifestyle,tier2,Azad Nagar,Line 1,8,walk,8.88,23.62,17963000,26301,215553,9.2,2023,7,5,26300.146412884333,0,92,42.115869988309306,Medium
S000073,2023-01-01,Dahisar,Western,affordable,19.2453,72.84945,2BHK,2,826,1008,76.8,2,20,2015,north,unfurnished,open,1,False,Hiranandani,tier1,Dahisar East,Line 2A,2,walk,19.61,35.55,10448000,12643,125382,9.2,2023,1,11,12648.910411622275,0,98,41.82431209800919,Medium
S000074,2023-11-11,Ambernath,Thane,affordable,19.20326,73.17519,2BHK,2,633,819,58.8,6,7,2020,south-west,fully_furnished,open,1,False,Local Builder,local,Worli Metro,Line 3,183,auto/bus,35.32,48.08,2682000,4235,32185,9.2,2023,11,6,4236.96682464455,2,0,1.8198560775540642,Low
S000075,2026-01-01,Dahisar,Western,affordable,19.25595,72.87862,2BHK,2,701,853,65.1,15,45,2016,north-west,unfurnished,1_covered,1,False,Local Builder,local,Borivali East,Line 2A,15,auto/bus,20.7,37.08,6866000,9796,82398,8.7,2026,1,10,9794.579172610556,0,85,36.10484520827265,Medium
S000076,2022-04-08,Dadar East,Central,premium,19.0122,72.84246,2BHK,2,744,940,69.1,37,45,2015,west,semi_furnished,1_covered,2,False,Sheth Creators,tier2,Dadar Metro,Line 3,12,walk,7.05,9.73,25712000,34558,308549,7.1,2022,4,11,34559.13978494624,0,88,42.150492345986315,Medium
S000077,2021-12-07,Goregaon West,Western,mid,19.161,72.85248,3BHK,3,963,1176,89.4,4,20,2000,north,semi_furnished,none,3,False,Nirmal Lifestyle,tier2,Jogeshwari East,Line 7,18,auto/bus,10.28,26.25,17302000,17973,207629,6.7,2021,12,26,17966.770508826583,2,82,37.052396786498676,Medium
S000078,2020-03-30,Kanjurmarg,Central,mid,19.13659,72.93404,3BHK,3,997,1199,92.7,4,20,2022,north-west,unfurnished,open,1,False,Dosti Realty,tier2,Saki Naka,Line 1,28,auto/bus,10.01,26.08,10360000,10388,124318,7.85,2020,3,4,10391.173520561684,2,72,31.574125096525098,Medium
S000079,2021-05-11,Ghansoli,Navi Mumbai,mid,19.10415,72.99104,5BHK_penthouse,5,1712,2201,159.1,7,12,2014,north,fully_furnished,1_covered,1,False,Local Builder,local,Hutatma Chowk,Line 3,120,auto/bus,13.27,26.45,13277000,7754,159324,6.7,2021,5,12,7755.257009345794,4,0,2.8261182194772916,Low
S000080,2020-10-24,Goregaon West,Western,mid,19.1515,72.85075,3BHK,3,862,1059,80.1,2,12,2017,north-east,semi_furnished,2_covered,1,False,Kalpataru,tier1,Lower Oshiwara,Line 2A,7,walk,9.29,25.18,17623000,20439,211479,6.7,2020,10,9,20444.31554524362,2,93,41.944544027691094,Medium
S000081,2021-05-10,Ambernath,Thane,affordable,19.19062,73.19113,1BHK,1,465,573,43.2,4,7,2002,north-east,unfurnished,open,2,False,Local Builder,local,Andheri,Line 1,153,auto/bus,36.3,48.52,1374000,2957,16485,6.7,2021,5,24,2954.8387096774195,0,0,1.319202037845706,Low
S000082,2026-04-15,Goregaon West,Western,mid,19.16099,72.84191,5BHK_penthouse,5,2663,3384,247.4,7,12,2013,east,unfurnished,open,1,True,Local Builder,local,Mogra,Line 7,17,auto/bus,10.54,26.14,34271000,12867,411251,8.7,2026,4,13,12869.32031543372,2,83,36.402579189402125,Medium
S000083,2022-10-25,Kopar Khairane,Navi Mumbai,mid,19.09216,73.00871,1BHK,1,316,389,29.4,7,12,1987,south-east,fully_furnished,open,2,False,DLF,tier1,Vashi Harbour,Harbour,18,auto/bus,14.78,26.79,3441000,10888,41287,8.6,2022,10,39,10889.240506329113,2,82,35.868213193839004,Medium
S000084,2026-02-08,Sion,Central,premium,19.03662,72.87973,5BHK_penthouse,5,3113,3886,289.2,18,20,2016,south-east,unfurnished,2_covered,1,False,Sunteck,tier2,Chakala,Line 1,33,auto/bus,3.85,13.59,88465000,28418,1061580,8.7,2026,2,10,28417.924831352393,2,67,33.09490390549936,Medium
S000085,2021-04-20,Ghodbunder Road,Thane,mid,19.25321,72.96089,5BHK_penthouse,5,2801,3506,260.3,40,45,2024,north,unfurnished,1_covered,3,False,Kalpataru,tier1,Anand Nagar,Line 2A,49,auto/bus,22.5,39.08,31692000,11313,380304,6.7,2021,4,2,11314.530524812568,2,51,23.2941537044049,Medium
