locality,lat,lon,price_inr,investment_score,luxury_score
Byculla,18.98233,72.85098,22600000,43.515091585632504,4
Vasai,19.41239,72.81429,1513000,31.916951746175684,0
Bhayandar,19.30502,72.82463,5003000,33.217153057760086,0
Ghatkopar East,19.06702,72.93302,16902000,36.340255146805866,2
Ghatkopar East,19.07763,72.93126,9528000,40.41520587287837,0
Vikhroli,19.1091,72.92743,8319000,36.25298460774461,0
Kopar Khairane,19.095,73.01513,17133000,32.214139572299494,2
Parel,18.98705,72.83517,22336000,45.74026518320065,0
Cuffe Parade,18.9007,72.7976,50320000,63.34748592175883,5
Mulund East,19.16931,72.97786,10851000,37.02038165588621,0
Ambernath,19.19969,73.1911,2911000,30.27469695243286,0
Kharghar,19.0475,73.0473,3212000,31.650745138004616,0
Prabhadevi,19.00137,72.819,63992000,53.830589406089885,5
Tardeo,18.98548,72.80629,19179000,52.33064079549281,3
Santacruz East,19.07946,72.8366,16353000,42.29182022362071,0
Ghansoli,19.1233,73.01428,5144000,31.727259138068646,0
Kalyan,19.2343,73.14745,3249000,31.24508526201863,0
Bhandup,19.14415,72.94068,5154000,33.53523973508109,0
Andheri East,19.12383,72.84337,19934000,43.205167535249664,2
Oshiwara,19.15507,72.83904,17422000,41.89397856512353,0
Ghatkopar West,19.08853,72.91292,5824000,38.20427107725908,0
Airoli,19.16845,73.00713,10090000,35.304454072028186,2
Nerul,19.04478,73.0208,9820000,36.89710574347318,2
Borivali East,19.22917,72.83989,7534000,33.70696426899447,0
Mahalaxmi,18.98723,72.81668,91352000,58.70033568787107,5
BKC (Bandra-Kurla),19.06122,72.87841,201635000,62.769303852219565,5
Seawoods,19.02202,73.013,10000000,33.85188997567456,2
Colaba,18.90599,72.81475,19456000,57.08530039379697,3
Malad East,19.18888,72.85802,5648000,33.21554800683887,2
Borivali East,19.23006,72.84703,5185000,32.99870464620679,0
Lokhandwala,19.1389,72.82731,17963000,43.83062249489968,0
Dahisar,19.2453,72.84945,10448000,35.699425325968,0
Ambernath,19.20326,73.17519,2682000,30.264674360050243,2
Dahisar,19.25595,72.87862,6866000,34.032413111686076,0
Dadar East,19.0122,72.84246,25712000,50.242161731705366,0
Goregaon West,19.161,72.85248,17302000,39.39696497543794,2
Kanjurmarg,19.13659,72.93404,10360000,33.96108560304151,2
Ghansoli,19.10415,72.99104,13277000,31.652869404918523,4
Goregaon West,19.1515,72.85075,17623000,40.92342422938414,2
Ambernath,19.19062,73.19113,1374000,29.5074637514598,0
Goregaon West,19.16099,72.84191,34271000,35.71312521262065,2
Kopar Khairane,19.09216,73.00871,3441000,35.089434973496054,2
Sion,19.03662,72.87973,88465000,42.32338931966862,2
Ghodbunder Road,19.25321,72.96089,31692000,33.78196099597326,2
Sanpada,19.07145,72.99806,21641000,36.07765025028565,2
Bandra East,19.06268,72.82431,51896000,52.13273538842239,4
Kanjurmarg,19.14428,72.93629,33659000,33.23364576332531,2
Nerul,19.0317,73.04415,7853000,36.38617124562089,0
Vile Parle West,19.09982,72.83853,20928000,46.85063165943755,0
Walkeshwar,18.97198,72.79959,120281000,72.07181226338805,5
Vashi,19.08563,73.01338,3966000,33.491021472715644,0
Dahisar,19.2529,72.85874,7520000,34.82148609821364,2
Kandivali East,19.20583,72.8533,7444000,34.265731299036666,0
Ghatkopar West,19.09423,72.88143,11267000,40.42522628240607,0
Mumbra,19.18702,73.03243,4612000,31.16025379297819,4
Kalyan,19.23966,73.13194,7354000,32.30485809820595,4
Ambernath,19.20562,73.17136,3626000,29.87540317897011,4
Ulwe,18.96543,73.02757,4879000,31.1884255617495,2
Malad West,19.18718,72.86958,12817000,40.04320474004083,2
Breach Candy,18.96319,72.80163,55516000,66.61200581460604,5
Nerul,19.03443,73.00401,6762000,38.98661291934282,0
Ghansoli,19.11935,72.97569,2767000,32.02637928912618,0
Prabhadevi,19.01077,72.82988,131732000,60.92505937106337,7
Andheri West,19.12591,72.83765,16351000,48.113502830106924,0
Tardeo,18.95959,72.79967,20203000,49.2513357381156,3
Ulwe,18.96738,73.01284,2888000,31.80434212940593,0
Naigaon,19.34819,72.83939,1512000,31.800578960806916,0
Bandra West,19.05992,72.84103,31182000,58.88428218456333,3
Bandra West,19.06499,72.83983,44122000,56.97307073878264,7
Kalyan,19.24703,73.11303,4031000,30.851277879044886,2
Pedder Road,18.97915,72.79224,79078000,80.88191538523135,5
Borivali West,19.23584,72.86071,19110000,35.23489257720443,2
Kharghar,19.02975,73.0668,3920000,30.835585601852834,0
Byculla,18.97948,72.82363,7736000,42.34789106928527,0
Tardeo,18.95946,72.802,33717000,51.30631116654908,7
Oshiwara,19.15076,72.82427,8602000,37.39325852226477,0
Mahalaxmi,18.97971,72.81297,29457000,59.88034718669613,3
Vile Parle West,19.08928,72.85524,13879000,51.451602623602675,0
Cuffe Parade,18.91436,72.82578,55670000,66.62571010484093,5
Mumbra,19.19351,73.03451,4669000,30.912531060230975,2
Vile Parle East,19.08923,72.85978,10737000,43.4462571062991,2
Juhu,19.11278,72.8493,103780000,52.1835182741349,5
Oshiwara,19.13552,72.83177,11977000,39.248289137835,0
Bhayandar,19.29645,72.83657,1702000,30.906481429080877,0
Nala Sopara,19.42304,72.82058,2080000,29.317294713740058,0
Nerul,19.02661,73.02154,5265000,35.5211897306768,0
Chembur,19.05255,72.92648,14848000,41.447692699870494,0
Malad East,19.20963,72.86273,31630000,35.568291258847225,2
Nariman Point,18.92055,72.81744,26753000,66.12242683900061,3
Santacruz West,19.08141,72.84467,60461000,47.98036608718237,2
Marine Drive,18.93555,72.81151,40931000,50.88663975474137,5
Goregaon East,19.16053,72.86748,17070000,38.21114356093646,2
Cuffe Parade,18.91187,72.82481,55138000,63.19207187851498,5
Ulwe,18.95385,73.04031,1997000,30.752600948945503,0
Tardeo,18.97768,72.81561,19767000,57.12419914383222,3
Tardeo,18.94449,72.79366,26494000,50.265555715561284,3
Kandivali West,19.21462,72.83488,10764000,38.508676858008606,0
Naigaon,19.34809,72.85292,3822000,32.21288941812143,2
Pedder Road,18.98013,72.78237,104501000,68.1312100634835,5
Prabhadevi,19.01348,72.80434,29387000,54.44191723703993,3
Powai,19.11959,72.91951,11459000,42.0306049126452,2
Ghatkopar East,19.06549,72.92705,14610000,38.158511117011294,0
Santacruz East,19.08765,72.82708,26503000,43.12053176054039,2
Thane West,19.22033,72.97374,3729000,34.00775482167984,0
Juhu,19.1199,72.82107,36778000,56.92275304476838,7
Sewri,18.98714,72.85732,21860000,43.29553401010867,2
Kalyan,19.23338,73.12607,1925000,29.964520380851617,0
Borivali East,19.22731,72.8538,3853000,34.77352733547131,0
Mumbra,19.19078,73.04353,3538000,30.100862323012613,2
Kurla East,19.07907,72.89781,6767000,37.712952993498114,0
Ghatkopar West,19.07231,72.90542,18713000,40.14200667074136,2
Lower Parel,18.9956,72.84155,40294000,47.67738738045617,2
Goregaon West,19.16313,72.8428,34880000,41.733103457227635,2
Airoli,19.14752,73.00463,4231000,34.10363686872856,0
Tardeo,18.97695,72.80999,60499000,64.06891995513098,5
Malabar Hill,18.96449,72.79585,118022000,63.69873908505889,5
Khar West,19.06383,72.85289,72101000,53.275651707254426,5
Dadar East,19.02712,72.86449,14027000,51.64711864192229,2
Malad West,19.17282,72.86344,11012000,39.346832782350944,0
BKC (Bandra-Kurla),19.06984,72.86213,60926000,67.55661114686347,5
Matunga,19.01512,72.85669,19302000,46.32614897340804,0
Colaba,18.91356,72.80136,33626000,52.44245860037565,5
Badlapur,19.17531,73.21697,2222000,30.49412165425734,2
Andheri East,19.11578,72.83567,24178000,44.099494151960194,4
Naigaon,19.33305,72.84437,1901000,31.634566403101047,2
Worli,19.01621,72.82674,71845000,68.96724609959413,5
Lokhandwala,19.13708,72.83013,21586000,42.37399862071431,2
Goregaon West,19.16192,72.85964,10625000,38.73739647433185,0
Matunga,19.0153,72.86436,20299000,45.20281659821332,2
Juhu,19.11526,72.81435,17976000,50.351950709162395,3
Kandivali East,19.21481,72.85614,4950000,33.982207541374024,0
Manpada,19.23208,72.99035,4630000,29.699134647486773,2
Kopar Khairane,19.11413,73.00898,4909000,33.78893688416202,0
Parel,18.99763,72.82865,39792000,44.47114686606435,4
Vile Parle West,19.10286,72.86934,28830000,57.29704818123935,0
Panvel,18.99596,73.12414,1558000,29.62536348904714,0
Powai,19.12281,72.91903,12279000,47.33176554648843,2
Kandivali East,19.20723,72.8388,5717000,36.09649756409266,0
Nerul,19.03228,73.03754,5014000,37.34366429952077,0
Kanjurmarg,19.12032,72.95997,13204000,37.97701694276431,0
Cuffe Parade,18.91095,72.83485,58341000,58.87899626348841,5
Panvel,18.99118,73.1088,4863000,29.859909171348846,4
Juhu,19.11138,72.83257,126977000,53.58680992752322,5
Walkeshwar,18.97577,72.80005,32498000,63.22260119459327,3
Goregaon West,19.17238,72.8424,32139000,37.39832368080138,2
Walkeshwar,18.94693,72.81394,51899000,67.51276376774314,5
Nerul,19.04593,73.02835,4978000,36.4938996107679,0
Vile Parle East,19.10396,72.86102,14794000,44.896744459608634,2
Bandra East,19.05662,72.84547,13556000,51.65462603518011,0
Ulwe,18.96944,73.03712,4889000,32.07820216790143,2
Badlapur,19.17004,73.21816,4431000,30.213066450371297,4
Vile Parle West,19.10847,72.83038,10307000,47.561290420939656,0
Nerul,19.0248,73.0312,7610000,37.38996453674403,0
Kharghar,19.05192,73.05257,6203000,31.97744861037035,0
Vikhroli,19.1117,72.91487,14425000,34.50904416238187,2
Thane East,19.2009,72.98111,1951000,31.682487223910368,0
Vashi,19.09095,73.00822,7318000,33.8406482546148,2
Andheri East,19.11547,72.84882,18381000,42.373008307713704,0
Vile Parle East,19.1097,72.86336,28375000,46.39911971816666,0
Panvel,18.98872,73.08737,2094000,30.283398975145943,2
Prabhadevi,19.01931,72.818,44814000,61.276673865959495,5
Kandivali West,19.20889,72.82462,11482000,39.74618188358962,0
Versova,19.1426,72.83454,15536000,47.37885405148591,0
Goregaon East,19.14913,72.85207,13148000,36.05094513156637,2
Dadar West,19.00182,72.84355,24873000,47.184564010059624,2
Panvel,19.00402,73.11951,4885000,31.090036583015213,0
Borivali West,19.22737,72.83394,11504000,36.56927191185056,2
Nala Sopara,19.40748,72.80243,2427000,29.53995005142615,0
Naigaon,19.34615,72.83701,6192000,31.80497568546825,2
Virar,19.46563,72.80922,3311000,30.58067131663716,0
Powai,19.12561,72.90928,39533000,47.524667560020006,4
Vile Parle East,19.11349,72.85076,13155000,41.82233344080616,0
Thane West,19.22639,72.96887,22160000,32.431909348661954,2
Andheri West,19.13504,72.84618,12951000,39.71103988195869,2
Vile Parle East,19.0903,72.86074,20143000,45.13728831977486,0
Virar,19.45358,72.80515,3589000,30.37559749955148,0
Ulwe,18.96129,73.00677,2631000,31.606422403123652,0
Ghatkopar East,19.09081,72.93529,7042000,34.471475353440226,2
Mulund West,19.16886,72.95841,12582000,37.5687497076482,2
Belapur,19.01365,73.01802,4234000,31.46839388485939,0
Dahisar,19.25209,72.85462,7864000,34.924640472846875,0
Chembur,19.04119,72.89939,25870000,40.27231324540247,2
Vashi,19.08315,73.00434,5676000,37.1232809766319,0
Chembur,19.05157,72.89465,15733000,37.26755040525025,2
Oshiwara,19.14774,72.83142,9269000,39.397154351345655,0
Ghatkopar East,19.08857,72.93213,13814000,37.05661345524477,2
Cuffe Parade,18.92081,72.8449,29747000,68.78573788095129,3
Malad East,19.18545,72.84902,5802000,37.042217935200455,2
Thane West,19.2175,72.9802,9241000,35.00335689230475,2
Colaba,18.90528,72.8054,69043000,55.64014551698055,5
Sion,19.03551,72.86909,25015000,37.508377385900445,2
Taloja,19.07434,73.12297,4663000,31.002749602784903,2
Kurla East,19.07359,72.90683,9496000,35.26073475484273,2
Prabhadevi,19.01757,72.83671,31011000,60.25114832668284,3
Khar West,19.06805,72.8292,31571000,49.276691973482066,3
Santacruz East,19.08481,72.86019,8144000,42.318635825187016,0
Vikhroli,19.10856,72.92452,25956000,39.45003976116099,2
Mira Road,19.29308,72.84535,5693000,32.52015973769385,2
Nerul,19.03014,73.00259,4583000,36.453922058996724,0
Mazgaon,18.9648,72.82696,20977000,45.42892541988907,0
Juhu,19.1066,72.8444,41896000,44.12612337628744,5
Kanjurmarg,19.1347,72.93914,15711000,37.14709617395977,4
Mulund West,19.17249,72.95267,13124000,36.884334243998524,2
Pedder Road,18.97097,72.81118,73295000,72.03255898777523,7
Ghodbunder Road,19.25686,72.97133,3656000,31.180599138763945,0
Mumbra,19.18749,73.02436,3338000,30.71284372503096,2
Ghatkopar West,19.08113,72.92152,5864000,36.87264572510142,0
Breach Candy,18.96287,72.8092,93959000,61.88115781884418,5
Nala Sopara,19.43396,72.81761,3371000,29.956665487658093,4
Cuffe Parade,18.89924,72.82029,52178000,64.94793022747535,5
Seawoods,19.01571,73.03645,6859000,32.86566369235106,0
Lower Parel,18.99025,72.8324,16238000,50.23546400292229,0
Naigaon,19.35043,72.8414,2253000,31.59609317313418,4
Malabar Hill,18.94785,72.80776,127747000,68.70141845106822,5
Juhu,19.09911,72.81728,42304000,49.062052756944496,5
Manpada,19.22504,72.9755,3257000,31.236616773737943,0
Panvel,18.9859,73.11919,3206000,30.289021986985432,0
Andheri East,19.11207,72.86238,20613000,39.15695616870603,2
Byculla,18.95698,72.83692,33449000,50.53925017901855,4
Ambernath,19.20536,73.19166,1066000,29.268079617971246,0
Panvel,18.98512,73.10328,1945000,28.57494273425667,0
Thane West,19.22071,72.97356,9232000,34.389479572622236,2
Mumbra,19.18022,73.01111,6418000,30.58719830023543,4
Juhu,19.0982,72.8293,36914000,57.636880463605465,3
Airoli,19.16092,73.00796,6802000,35.382081937382935,2
Airoli,19.16049,72.98107,6294000,34.57435104532047,0
Breach Candy,18.96084,72.80622,51282000,65.36297260359186,3
Ghatkopar East,19.08805,72.92036,5353000,33.80841051800111,0
Matunga,19.02287,72.8641,47229000,47.57539193688705,2
Walkeshwar,18.94824,72.80188,145162000,58.866303299367324,5
Mulund East,19.1699,72.95297,10675000,35.63723892861452,2
Mulund East,19.1625,72.95217,7613000,34.77448722739925,0
Thane East,19.17318,72.9754,7007000,33.629653331911605,4
Lower Parel,18.98694,72.83673,65293000,57.57228878132888,2
Thane East,19.19049,72.99225,8188000,34.45914729806729,2
Malabar Hill,18.93955,72.7914,45663000,73.63153695661825,3
Breach Candy,18.96857,72.81169,51943000,58.91290708173784,5
Santacruz East,19.08673,72.83373,14866000,42.93638292356677,0
Powai,19.1074,72.86728,13044000,39.85400215572155,0
Sion,19.04994,72.86712,10914000,41.30020758807987,0
Malad West,19.20282,72.83856,4817000,36.686647893667654,2
Prabhadevi,19.00981,72.82049,24516000,62.3884468593642,5
Tardeo,18.97534,72.80312,31114000,53.09393161310603,3
Vile Parle West,19.10695,72.8417,14319000,42.86045780453817,0
Malabar Hill,18.93527,72.79224,94135000,67.87000312199376,5
Lower Parel,18.98301,72.8394,33372000,59.09184164423144,0
Kurla East,19.06309,72.90472,13049000,37.814943572673585,2
Vashi,19.07951,72.99982,9059000,37.49565679511912,2
Versova,19.13642,72.80689,16107000,50.51236015057432,2
Byculla,18.97568,72.8351,18294000,47.20750991966382,0
Belapur,19.00447,73.01363,12313000,33.15021560377358,2
Bandra East,19.06484,72.83215,23470000,53.58782720677756,0
Mazgaon,18.97407,72.83156,22235000,40.764961568334904,4
Wadala,19.00821,72.8552,13560000,47.4181634013074,0
Byculla,18.98092,72.84806,33794000,49.51125301438087,2
Goregaon West,19.15529,72.86236,22801000,37.79872227868039,2
Dadar West,19.02645,72.8502,43310000,52.03214173307914,4
Lower Parel,19.00808,72.83325,33039000,57.48227460868879,0
Malad East,19.1841,72.8502,7262000,34.80080901083099,0
Malad East,19.19269,72.86035,8446000,36.02884722022178,2
Taloja,19.07725,73.1036,3436000,31.509419068375895,2
Andheri West,19.1498,72.83382,14469000,42.020426389443536,0
Bandra East,19.04471,72.85494,19576000,48.54293550697912,2
Walkeshwar,18.96698,72.80885,65824000,65.96037056494349,5
Bhandup,19.13719,72.93538,4509000,34.48556015593537,0
Mumbra,19.17613,73.01934,5136000,30.684409145544333,2
Versova,19.14861,72.83974,9050000,44.25704086626437,0
Kandivali East,19.21336,72.87776,7159000,33.641980213342194,0
Santacruz East,19.08265,72.83576,15970000,41.78496113112252,2
Manpada,19.24068,72.96287,5679000,32.3182976573117,0
Taloja,19.07241,73.09214,4419000,30.753369262336122,2
Kanjurmarg,19.12936,72.93128,28939000,38.238266190366055,2
Vasai,19.40457,72.81194,2402000,30.70401707579297,0
Mahalaxmi,18.9776,72.81476,58747000,57.09284964100665,5
Versova,19.14294,72.80826,16684000,43.19277677485731,2
Vikhroli,19.11012,72.9639,12319000,37.15891109471252,2
Mulund East,19.17598,72.96138,10826000,33.8712978426704,2
Goregaon East,19.15179,72.86259,10761000,38.37903155802095,0
Mumbra,19.18366,73.03443,1784000,29.241655228109874,2
Vile Parle East,19.09958,72.85268,64836000,50.191808491292726,4
Seawoods,19.02519,73.02564,8750000,34.72922337524823,0
Mulund West,19.17603,72.94164,5620000,34.99236349214605,0
Kurla East,19.07333,72.91594,38001000,37.60214926688735,2
Lokhandwala,19.13199,72.84091,77648000,42.499427932853436,4
Pedder Road,18.9783,72.81645,67732000,64.88020919559324,5
Kharghar,19.0573,73.06358,8947000,32.80416670748045,2
Nerul,19.04105,73.04645,12087000,36.6473414156328,2
Kalyan,19.23434,73.11177,3461000,32.05786169854433,0
Vashi,19.07588,72.9873,19792000,38.52756393254141,2
BKC (Bandra-Kurla),19.06211,72.87805,86327000,76.09170594761781,5
Bhandup,19.14019,72.94508,11948000,34.694611171103254,2
Parel,19.00744,72.82051,11710000,46.81607087795936,0
Vile Parle West,19.10174,72.84327,57898000,47.93495175004766,2
Wadala,19.00737,72.86092,56574000,49.46423731392533,2
Ghodbunder Road,19.261,72.99087,5121000,31.98734054765267,0
Thane East,19.1842,72.97685,2916000,34.56325424775385,0
Sewri,18.99869,72.85784,9229000,41.80171993507284,2
Airoli,19.15646,72.9908,5546000,35.48288137782126,0
Bandra East,19.02469,72.84909,21903000,48.745459090537786,0
Kanjurmarg,19.1141,72.91382,17002000,38.45417765402815,2
Seawoods,19.01989,73.02543,10260000,35.39884511831267,2
Ulwe,18.9718,73.02262,5885000,31.98947733995029,2
Malad East,19.18482,72.85066,14674000,35.49898689383058,2
Kalwa,19.18193,72.9981,2061000,31.82444358156021,0
Bhandup,19.14526,72.95445,5837000,34.14282155655632,0
Dadar East,19.00599,72.84117,9628000,42.24034240035797,0
Panvel,18.98622,73.11159,2561000,30.280753996677973,2
Santacruz East,19.07977,72.82855,37836000,48.4025033764179,2
Dahisar,19.24901,72.86246,4584000,33.02568202061747,0
Malad West,19.19417,72.84304,13922000,36.49434795160586,2
Sanpada,19.07167,73.01143,2991000,33.50237345575166,0
Kurla East,19.07556,72.89156,8966000,37.23536933266288,0
Mira Road,19.29886,72.84771,17251000,31.926203440167463,2
Chembur,19.0481,72.89939,38284000,43.479837509652135,4
Pedder Road,18.98061,72.82909,65410000,75.78134206716065,5
Borivali East,19.23559,72.85716,20505000,33.0567564156105,2
Worli,19.01433,72.81956,100778000,66.13926635380241,5
Lower Parel,19.0068,72.80712,37418000,58.1028952746235,2
Walkeshwar,18.95273,72.78117,92059000,61.945537906468104,5
Marine Drive,18.93984,72.81673,63463000,57.191051691850944,5
Versova,19.14194,72.80823,15881000,43.83759877181405,0
Ulwe,18.96829,73.00931,2567000,32.186339595277495,2
Santacruz East,19.07131,72.85298,24255000,39.55281889234734,2
Ghansoli,19.1235,72.98687,15715000,30.412036821888904,2
Bandra West,19.06476,72.82306,30536000,58.08998891120332,3
Malad West,19.17734,72.85755,17056000,39.43470776039521,2
Mulund East,19.1865,72.94677,4780000,33.52561631902216,0
Kandivali West,19.2064,72.83685,11457000,35.2548251489615,2
Mira Road,19.29289,72.85156,3287000,32.56725738637776,0
Chembur,19.06258,72.9201,15219000,37.55935332170619,2
Mulund East,19.18611,72.98013,7930000,33.74669799719903,2
Byculla,18.98661,72.81083,11802000,47.92396559421355,0
Thane East,19.17639,72.98975,4611000,33.502052216587984,0
Borivali West,19.22401,72.84064,23837000,35.14321934793245,2
Lokhandwala,19.13567,72.83813,11604000,50.07229972773932,2
Santacruz West,19.07999,72.83902,29399000,57.90614748516441,0
Prabhadevi,19.00818,72.82306,69242000,56.54248260737934,5
Malad West,19.18281,72.84862,13590000,40.016531569275216,0
Lower Parel,18.97976,72.83576,16959000,53.28666133551972,0
Seawoods,19.0229,73.03376,11695000,33.553696913756994,2
Juhu,19.11727,72.82724,44284000,59.32790477274873,5
Kandivali West,19.21312,72.84288,12475000,36.98358892288174,4
Cuffe Parade,18.91951,72.82726,43853000,65.84272358720091,5
Wadala,19.03177,72.8586,10658000,45.55968691446834,0
Breach Candy,18.97159,72.80431,95904000,72.51616123190938,5
Nariman Point,18.94181,72.82066,61344000,63.71766474918729,7
Worli,19.02366,72.81838,58979000,55.8191362930859,5
Vasai,19.39493,72.84091,2520000,30.264510726563422,2
Breach Candy,18.96927,72.82566,47488000,70.05858258604162,3
Andheri West,19.14671,72.84124,54496000,48.48652822955969,4
Walkeshwar,18.95562,72.77273,94758000,65.68174540174873,7
Colaba,18.90635,72.81612,56217000,55.92292103599118,7
Belapur,19.00978,73.02876,12871000,33.94338277260936,2
Bhayandar,19.29901,72.86725,7018000,33.81261862505052,4
Belapur,19.01468,73.03663,6636000,33.09069168710879,2
Malad East,19.19169,72.85259,13851000,38.236604055476626,2
Kopar Khairane,19.08941,73.00364,3798000,35.14486592075093,0
Colaba,18.90482,72.81298,101894000,63.94733695787035,5
Dahisar,19.26447,72.86699,7414000,34.80656819601002,0
Breach Candy,18.96377,72.80907,85061000,62.74810664321676,5
Vile Parle East,19.10116,72.84356,12740000,40.34039521659446,0
Parel,18.97535,72.83783,28762000,48.18057633401631,4
Dombivli,19.22438,73.10427,1435000,29.612361717737834,0
Dadar East,19.01401,72.83695,20235000,49.017552768375296,2
Marine Drive,18.93976,72.82571,113214000,64.32223443724736,5
Kharghar,19.06165,73.04928,7405000,33.58116287142687,0
Kurla East,19.0752,72.89596,13184000,40.02958115834423,0
Vikhroli,19.1059,72.9214,19042000,40.00835189869607,4
Kalwa,19.18412,73.01968,2305000,32.21209983317072,0
Mulund West,19.18737,72.93782,5704000,34.05183721161269,0
Nerul,19.0334,73.0061,35708000,36.29216330539827,4
Dadar West,19.01481,72.82546,9883000,42.34433315369238,0
Panvel,18.99406,73.10641,7919000,31.782954219806903,4
Nala Sopara,19.41791,72.80346,1448000,29.693571234550834,0
Kalwa,19.19401,73.00245,2733000,32.72696668011797,2
Badlapur,19.1602,73.23111,1994000,30.077961759505865,2
Seawoods,19.02748,73.04766,32864000,32.8041247017207,2
Thane West,19.20679,72.98776,3935000,32.92533272048249,0
Dadar West,19.03364,72.85111,35817000,53.26724707316463,2
Andheri East,19.13066,72.8506,17857000,42.64143908840496,0
Dadar West,19.03088,72.83529,18546000,44.9780038882802,0
Lokhandwala,19.13152,72.81647,13741000,43.13869692311292,0
Worli,19.00645,72.81932,80060000,80.0315999924707,5
Goregaon East,19.16805,72.85583,48303000,37.56470606607954,2
Kurla West,19.07581,72.88329,25108000,43.02288715649375,2
Ghansoli,19.13663,73.00826,8679000,33.497815679860196,2
Nala Sopara,19.42631,72.81738,2981000,29.13110748896289,2
Sion,19.04063,72.86656,10398000,40.71071662977468,0
Byculla,18.96405,72.83162,11045000,45.520992610448666,0
Mulund West,19.17318,72.93971,9194000,40.041144256358365,0
Malad West,19.19148,72.84267,13838000,42.53551133350595,2
Tardeo,18.97519,72.81696,46424000,66.58684373535553,3
Versova,19.13647,72.81503,12050000,47.3626985375837,0
Kandivali West,19.21166,72.85016,5882000,38.37822648748376,2
Kanjurmarg,19.11749,72.92754,21889000,37.74174404687726,2
Andheri East,19.11358,72.85157,12876000,39.86114643030174,0
Wadala,19.00925,72.85601,18128000,50.679727285130895,2
Manpada,19.23293,72.99435,4831000,30.953848374762437,0
Pedder Road,18.97634,72.79026,220257000,72.21703426309945,5
Ghansoli,19.12531,72.99581,10944000,32.66510955584638,4
Thane West,19.21787,72.96342,2792000,32.315205262032144,0
Nala Sopara,19.41508,72.84267,2733000,29.529624877351743,2
Sion,19.04626,72.86945,13306000,40.521036728368685,0
Versova,19.13967,72.81295,12302000,46.3000889442752,0
Mulund West,19.16566,72.94295,15416000,36.54974142869059,2
Worli,19.01418,72.82839,168398000,63.69999620212813,5
Colaba,18.90293,72.82578,52203000,44.70028295530807,5
Colaba,18.90537,72.82728,33507000,60.24362972919502,3
Ghatkopar East,19.08669,72.93597,8471000,39.61691306446447,0
Vashi,19.07061,73.00044,19813000,35.767028390312404,2
Mira Road,19.30269,72.8535,5073000,30.741592018460985,4
Santacruz West,19.07884,72.84154,41298000,43.05965439420699,4
Versova,19.13029,72.81561,20910000,50.01356999366066,0
Matunga,19.03176,72.87562,15571000,41.3804392027471,0
Kandivali West,19.21774,72.84359,21417000,36.591203008402246,2
Panvel,18.98254,73.10575,3513000,30.295484482068364,0
Thane East,19.18784,73.00003,2797000,33.17966598021786,0
Nariman Point,18.91609,72.82353,179454000,61.73794916111337,5
Vashi,19.08644,72.9927,11287000,37.99510987355956,2
Mira Road,19.29258,72.86734,9221000,32.70573391656857,2
