Locality,Avg_Price,Avg_Price_Per_Sqft,Avg_Carpet_Area,Avg_Metro_Distance,Avg_Luxury_Score
Kanjurmarg,12689017.182130584,14800.584192439863,859.8573883161512,41.52577319587629,1.2302405498281788
Kurla East,12460909.238249594,14747.048622366288,843.9983792544571,26.622366288492707,1.1507293354943273
Kandivali West,12429419.14191419,14253.79702970297,871.7640264026403,20.625412541254125,1.1848184818481848
Ghatkopar East,12271354.026845638,14990.604026845638,816.0738255033557,27.976510067114095,1.1711409395973154
Borivali West,12047750.430292599,13927.948364888123,869.7194492254733,23.34595524956971,1.2289156626506024
Mulund West,11603419.965576593,14185.51290877797,817.6798623063684,51.52323580034423,1.2358003442340793
Vashi,10815896.721311476,13204.672131147541,822.827868852459,6.862295081967213,1.157377049180328
Malad East,10801736.394557822,12808.892857142857,841.8146258503401,17.494897959183675,1.1394557823129252
Borivali East,10442337.883959044,12166.626279863482,858.9044368600682,7.977815699658703,1.2525597269624573
Kandivali East,10324013.698630137,12071.517123287671,856.0736301369863,12.724315068493151,1.178082191780822
Mulund East,10204265.339966832,12113.633499170812,839.480928689884,52.97014925373134,1.197346600331675
Bhandup,10201391.233766234,12330.076298701299,831.25,45.63961038961039,1.1233766233766234
Nerul,9961047.40061162,11426.374617737003,865.0336391437309,7.374617737003058,1.2844036697247707
Seawoods,9313684.30335097,11068.104056437389,842.8888888888889,32.44268077601411,1.1746031746031746
Sanpada,8984650.485436894,10482.9644012945,856.0792880258899,39.91747572815534,1.2297734627831716
Dahisar,8934015.177065767,10336.49747048904,866.1517706576728,9.173693086003373,1.2411467116357504
Belapur,8651635.273972603,10218.828767123288,844.4486301369863,6.916095890410959,1.2671232876712328
Thane West,8286303.482587065,9658.504145936982,860.0928689883914,61.87728026533997,1.2470978441127696
Kopar Khairane,7653093.023255814,8757.697674418605,867.0548172757475,58.68604651162791,1.2192691029900333
Kharghar,7446799.63898917,8750.759927797833,853.5523465703972,6.613718411552346,1.2093862815884477
Airoli,7287257.234726688,8725.332797427653,835.2652733118971,60.40514469453376,1.1639871382636655
Ghansoli,7138348.134991119,8193.177619893428,871.4245115452931,64.67140319715809,1.3214920071047958
Thane East,6590207.874015748,7858.335433070866,835.7417322834646,6.133858267716535,1.2031496062992126
Mira Road,6550782.905982906,7423.300854700855,890.5367521367522,60.78290598290598,1.2786324786324785
Ghodbunder Road,6481719.723183391,7789.76124567474,825.4965397923876,69.82179930795847,1.193771626297578
Manpada,6200091.710758378,7240.47442680776,856.0899470899471,65.72839506172839,1.2486772486772486
Bhayandar,5651657.331136738,6696.845140032949,840.3772652388798,59.92257001647447,1.1894563426688634
Kalwa,5160137.987012987,5950.571428571428,865.3327922077922,39.842532467532465,1.1883116883116882
Ulwe,5115289.950576606,5941.616144975288,869.0065897858319,77.28995057660626,1.1630971993410215
Panvel,4833343.470483005,5771.440071556351,838.5295169946332,5.085867620751341,1.2128801431127012
Taloja,4300185.737976783,4873.076285240464,880.3781094527363,74.67330016583747,1.1807628524046434
Dombivli,4017914.3356643356,4668.763986013986,857.2202797202797,88.8951048951049,1.1643356643356644
Kalyan,3955645.0,4717.255,840.1366666666667,4.63,1.1266666666666667
Mumbra,3665081.7717206134,4250.679727427598,859.2776831345826,72.33390119250426,1.1959114139693356
Virar,3503223.3676975947,4120.690721649485,849.139175257732,5.316151202749141,1.1580756013745706
Vasai,3317601.6393442624,3858.575409836066,861.8229508196721,103.16885245901639,1.2
Ambernath,3075056.994818653,3574.87219343696,870.7685664939551,118.50086355785838,1.2607944732297063
Naigaon,3031194.7040498443,3580.9641744548285,853.2102803738318,88.62305295950156,1.2398753894080996
Badlapur,2971104.377104377,3328.240740740741,889.7845117845118,148.76767676767676,1.239057239057239
Nala Sopara,2723279.72027972,3417.1783216783215,792.1486013986014,92.0506993006993,1.1748251748251748
